country,magnitude,pop_mil,aid_usd_mil,total_EQs_past_365days
DRCongo,6.6,92,397000000,13
Sudan,6.2,45,380000000,1
Ethiopia,6.5,114,309000000,0
Somalia,5.6,15.4,300000000,6
Yemen,6.6,31,271000000,6
Chad,5.3,16.2,212000000,0
Pakistan,8.1,225,211000000,160
South Sudan,7.2,11.4,190000000,2
Niger,5.3,25,178000000,0
Kenya,6.9,55,176000000,4
Afghanistan ,7.6,39.8,147000000,204
Uganda ,6.5,47,143000000,9
North Korea,7.3,25.9,140000000,2
Haiti,8.1,12,137000000,12
CentralAfricanRepublic,4.7,4.9,128000000,0
Syria,7.1,18.3,122000000,24
Myanmar,6.9,54.8,122000000,54
Iraq,7.3,41.1,115000000,33
Zimbabwe,5.8,15,109000000,2
Sri Lanka,9.1,22.2,104000000,0
Cameroon,4.9,27,95000000,0
Philippines,7.9,111,91000000,250
Mali,4.2,21,88000000,0
Nigeria,4.5,211.4,87000000,0
Bangladesh,5.8,166.3,79000000,33