country,magnitude,pop_mil,aid_usd_mil,earthqks#_year_prev
DRCongo,6.6,92,397000000,0
Sudan,6.2,45,380000000,0
Ethiopia,6.5,114,309000000,0
Somalia,5.6,15.4,300000000,0
Yemen,6.6,31,271000000,0
Chad,5.3,16.2,212000000,0
Pakistan,8.1,225,211000000,4
South Sudan,7.2,11.4,190000000,1
Niger,5.3,25,178000000,0
Kenya,6.9,55,176000000,0
Afghanistan ,7.6,39.8,147000000,20
Uganda ,6.5,47,143000000,0
North Korea,7.3,25.9,140000000,3
Haiti,8.1,12,137000000,12
CentralAfricanRepublic,4.7,4.9,128000000,0
Syria,7.1,18.3,122000000,2
Myanmar,6.9,54.8,122000000,3
Iraq,7.3,41.1,115000000,19
Zimbabwe,5.8,15,109000000,0
Sri Lanka,9.1,22.2,104000000,0
Cameroon,4.9,27,95000000,1
Philippines,7.9,111,91000000,52
Mali,4.2,21,88000000,0
Nigeria,4.5,211.4,87000000,0
Bangladesh,5.8,166.3,79000000,6